,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00
Tax Effect Of Unusual Items,-246971244.935436,211380035.679101,-3415860000.0
Tax Rate For Calcs,0.135031,0.189579,0.21
Normalized EBITDA,125644000000.0,88287000000.0,54618000000.0
Total Unusual Items,-1829000000.0,1115000000.0,-16266000000.0
Total Unusual Items Excluding Goodwill,-1829000000.0,1115000000.0,-16266000000.0
Net Income From Continuing Operation Net Minority Interest,59248000000.0,30425000000.0,-2722000000.0
Reconciled Depreciation,52795000000.0,48663000000.0,41921000000.0
Reconciled Cost Of Revenue,326288000000.0,304739000000.0,288831000000.0
EBITDA,123815000000.0,89402000000.0,38352000000.0
EBIT,71020000000.0,40739000000.0,-3569000000.0
Net Interest Income,2271000000.0,-233000000.0,-1378000000.0
Interest Expense,2406000000.0,3182000000.0,2367000000.0
Interest Income,4677000000.0,2949000000.0,989000000.0
Normalized Income,60830028755.06457,29521380035.6791,10128140000.0
Net Income From Continuing And Discontinued Operation,59248000000.0,30425000000.0,-2722000000.0
Total Expenses,569366000000.0,537933000000.0,501735000000.0
Total Operating Income As Reported,68593000000.0,36852000000.0,12248000000.0
Diluted Average Shares,10721000000.0,10492000000.0,10189000000.0
Basic Average Shares,10473000000.0,10304000000.0,10189000000.0
Diluted EPS,5.53,2.9,-0.27
Basic EPS,5.66,2.95,-0.27
Diluted NI Availto Com Stockholders,59248000000.0,30425000000.0,-2722000000.0
Net Income Common Stockholders,59248000000.0,30425000000.0,-2722000000.0
Net Income,59248000000.0,30425000000.0,-2722000000.0
Net Income Including Noncontrolling Interests,59248000000.0,30425000000.0,-2722000000.0
Net Income Continuous Operations,59248000000.0,30425000000.0,-2722000000.0
Earnings From Equity Interest Net Of Tax,-101000000.0,-12000000.0,-3000000.0
Tax Provision,9265000000.0,7120000000.0,-3217000000.0
Pretax Income,68614000000.0,37557000000.0,-5936000000.0
Other Income Expense,-2250000000.0,938000000.0,-16806000000.0
Other Non Operating Income Expenses,-421000000.0,-177000000.0,-540000000.0
Gain On Sale Of Security,-1829000000.0,1115000000.0,-16266000000.0
Net Non Operating Interest Income Expense,2271000000.0,-233000000.0,-1378000000.0
Interest Expense Non Operating,2406000000.0,3182000000.0,2367000000.0
Interest Income Non Operating,4677000000.0,2949000000.0,989000000.0
Operating Income,68593000000.0,36852000000.0,12248000000.0
Operating Expense,243078000000.0,233194000000.0,212904000000.0
Other Operating Expenses,187812000000.0,177008000000.0,158775000000.0
Research And Development,,,
Selling General And Administration,55266000000.0,56186000000.0,54129000000.0
Selling And Marketing Expense,43907000000.0,44370000000.0,42238000000.0
General And Administrative Expense,11359000000.0,11816000000.0,11891000000.0
Other Gand A,11359000000.0,11816000000.0,11891000000.0
Gross Profit,311671000000.0,270046000000.0,225152000000.0
Cost Of Revenue,326288000000.0,304739000000.0,288831000000.0
Total Revenue,637959000000.0,574785000000.0,513983000000.0
Operating Revenue,637959000000.0,574785000000.0,513983000000.0
