,2025-06-30 00:00:00,2025-03-31 00:00:00,2024-12-31 00:00:00,2024-09-30 00:00:00,2024-06-30 00:00:00
TaxEffectOfUnusualItems,143677518.339167,584272614.050464,59714081.166943,-2700449.076897,4172646.769433
TaxRateForCalcs,0.128398,0.210019,0.104032,0.150025,0.115907
NormalizedEBITDA,35481000000.0,33700000000.0,37976000000.0,32100000000.0,27836000000.0
TotalUnusualItems,1119000000.0,2782000000.0,574000000.0,-18000000.0,36000000.0
TotalUnusualItemsExcludingGoodwill,1119000000.0,2782000000.0,574000000.0,-18000000.0,36000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,18164000000.0,17127000000.0,20004000000.0,15328000000.0,13485000000.0
ReconciledDepreciation,15227000000.0,14262000000.0,15631000000.0,13442000000.0,12038000000.0
ReconciledCostOfRevenue,80809000000.0,76976000000.0,98893000000.0,80977000000.0,73785000000.0
EBITDA,36600000000.0,36482000000.0,38550000000.0,32082000000.0,27872000000.0
EBIT,21373000000.0,22220000000.0,22919000000.0,18640000000.0,15834000000.0
NetInterestIncome,569000000.0,525000000.0,678000000.0,653000000.0,591000000.0
InterestExpense,516000000.0,541000000.0,570000000.0,603000000.0,589000000.0
InterestIncome,1085000000.0,1066000000.0,1248000000.0,1256000000.0,1180000000.0
NormalizedIncome,17188677518.33917,14929272614.050465,19489714081.166943,15343299550.923103,13453172646.769432
NetIncomeFromContinuingAndDiscontinuedOperation,18164000000.0,17127000000.0,20004000000.0,15328000000.0,13485000000.0
TotalExpenses,148531000000.0,137262000000.0,166589000000.0,141466000000.0,133305000000.0
TotalOperatingIncomeAsReported,19171000000.0,18405000000.0,21203000000.0,17411000000.0,14672000000.0
DilutedAverageShares,10806000000.0,10793000000.0,10771000000.0,10735000000.0,10708000000.0
BasicAverageShares,10637000000.0,10603000000.0,10552000000.0,10501000000.0,10447000000.0
DilutedEPS,1.68,1.59,1.86,1.43,1.26
BasicEPS,1.71,1.62,1.9,1.46,1.29
DilutedNIAvailtoComStockholders,18164000000.0,17127000000.0,20004000000.0,15328000000.0,13485000000.0
NetIncomeCommonStockholders,18164000000.0,17127000000.0,20004000000.0,15328000000.0,13485000000.0
NetIncome,18164000000.0,17127000000.0,20004000000.0,15328000000.0,13485000000.0
NetIncomeIncludingNoncontrollingInterests,18164000000.0,17127000000.0,20004000000.0,15328000000.0,13485000000.0
NetIncomeContinuousOperations,18164000000.0,17127000000.0,20004000000.0,15328000000.0,13485000000.0
EarningsFromEquityInterestNetOfTax,-15000000.0,1000000.0,-20000000.0,-3000000.0,7000000.0
TaxProvision,2678000000.0,4553000000.0,2325000000.0,2706000000.0,1767000000.0
PretaxIncome,20857000000.0,21679000000.0,22349000000.0,18037000000.0,15245000000.0
OtherIncomeExpense,1117000000.0,2749000000.0,468000000.0,-27000000.0,-18000000.0
OtherNonOperatingIncomeExpenses,-2000000.0,-33000000.0,-106000000.0,-9000000.0,-54000000.0
GainOnSaleOfSecurity,1119000000.0,2782000000.0,574000000.0,-18000000.0,36000000.0
NetNonOperatingInterestIncomeExpense,569000000.0,525000000.0,678000000.0,653000000.0,591000000.0
InterestExpenseNonOperating,516000000.0,541000000.0,570000000.0,603000000.0,589000000.0
InterestIncomeNonOperating,1085000000.0,1066000000.0,1248000000.0,1256000000.0,1180000000.0
OperatingIncome,19171000000.0,18405000000.0,21203000000.0,17411000000.0,14672000000.0
OperatingExpense,67722000000.0,60286000000.0,67696000000.0,60489000000.0,59520000000.0
OtherOperatingExpenses,53341000000.0,47895000000.0,51709000000.0,47167000000.0,45967000000.0
SellingGeneralAndAdministration,14381000000.0,12391000000.0,15987000000.0,13322000000.0,13553000000.0
SellingAndMarketingExpense,11416000000.0,9763000000.0,13124000000.0,10609000000.0,10512000000.0
GeneralAndAdministrativeExpense,2965000000.0,2628000000.0,2863000000.0,2713000000.0,3041000000.0
OtherGandA,2965000000.0,2628000000.0,2863000000.0,2713000000.0,3041000000.0
GrossProfit,86893000000.0,78691000000.0,88899000000.0,77900000000.0,74192000000.0
CostOfRevenue,80809000000.0,76976000000.0,98893000000.0,80977000000.0,73785000000.0
TotalRevenue,167702000000.0,155667000000.0,187792000000.0,158877000000.0,147977000000.0
OperatingRevenue,167702000000.0,155667000000.0,187792000000.0,158877000000.0,147977000000.0
