,2025-07-31 00:00:00,2025-04-30 00:00:00,2025-01-31 00:00:00,2024-10-31 00:00:00,2024-07-31 00:00:00,2024-04-30 00:00:00,2024-01-31 00:00:00
FreeCashFlow,6518000000.0,425000000.0,6438000000.0,372000000.0,6277000000.0,,
RepurchaseOfCapitalStock,-1645000000.0,-4555000000.0,-1445000000.0,-977000000.0,-1013000000.0,,
RepaymentOfDebt,-875000000.0,0.0,-651000000.0,0.0,-1243000000.0,,
IssuanceOfDebt,0.0,3983000000.0,0.0,0.0,0.0,,
CapitalExpenditure,-6423000000.0,-4986000000.0,-7087000000.0,-6189000000.0,-5831000000.0,,
EndCashPosition,9877000000.0,9932000000.0,9536000000.0,10168000000.0,8879000000.0,,
BeginningCashPosition,9932000000.0,9536000000.0,10168000000.0,8879000000.0,9460000000.0,,
EffectOfExchangeRateChanges,111000000.0,70000000.0,-290000000.0,-11000000.0,-346000000.0,,
ChangesInCash,-166000000.0,326000000.0,-342000000.0,1300000000.0,-235000000.0,,
FinancingCashFlow,-7001000000.0,8000000.0,-5149000000.0,-2728000000.0,-6624000000.0,,
CashFlowFromContinuingFinancingActivities,-7001000000.0,8000000.0,-5149000000.0,-2728000000.0,-6624000000.0,,
NetOtherFinancingCharges,-844000000.0,-61000000.0,-901000000.0,-448000000.0,-433000000.0,,
CashDividendsPaid,-1875000000.0,-1880000000.0,-1684000000.0,-1668000000.0,-1665000000.0,,
CommonStockDividendPaid,-1875000000.0,-1880000000.0,-1684000000.0,-1668000000.0,-1665000000.0,,
NetCommonStockIssuance,-1645000000.0,-4555000000.0,-1445000000.0,-977000000.0,-1013000000.0,,
CommonStockPayments,-1645000000.0,-4555000000.0,-1445000000.0,-977000000.0,-1013000000.0,,
NetIssuancePaymentsOfDebt,-2637000000.0,6504000000.0,-1119000000.0,365000000.0,-3513000000.0,,
NetShortTermDebtIssuance,-1762000000.0,2521000000.0,-468000000.0,365000000.0,-2270000000.0,,
NetLongTermDebtIssuance,-875000000.0,3983000000.0,-651000000.0,0.0,-1243000000.0,,
LongTermDebtPayments,-875000000.0,0.0,-651000000.0,0.0,-1243000000.0,,
LongTermDebtIssuance,0.0,3983000000.0,0.0,0.0,0.0,,
InvestingCashFlow,-6106000000.0,-5093000000.0,-8718000000.0,-2533000000.0,-5719000000.0,,
CashFlowFromContinuingInvestingActivities,-6106000000.0,-5093000000.0,-8718000000.0,-2533000000.0,-5719000000.0,,
NetOtherInvestingChanges,-474000000.0,-132000000.0,-73000000.0,-77000000.0,-257000000.0,,
NetInvestmentPurchaseAndSale,,,267000000.0,3664000000.0,,,
SaleOfInvestment,,,267000000.0,3664000000.0,,,
NetBusinessPurchaseAndSale,,,-1899000000.0,0.0,3000000.0,0.0,0.0
SaleOfBusiness,,,,0.0,3000000.0,0.0,0.0
PurchaseOfBusiness,,,,,,,0.0
NetPPEPurchaseAndSale,-6407000000.0,-4961000000.0,-7013000000.0,-6123000000.0,-5611000000.0,,
SaleOfPPE,16000000.0,25000000.0,74000000.0,66000000.0,220000000.0,,
PurchaseOfPPE,-6423000000.0,-4986000000.0,-7087000000.0,-6189000000.0,-5831000000.0,,
OperatingCashFlow,12941000000.0,5411000000.0,13525000000.0,6561000000.0,12108000000.0,,
CashFlowFromContinuingOperatingActivities,12941000000.0,5411000000.0,13525000000.0,6561000000.0,12108000000.0,,
ChangeInWorkingCapital,2424000000.0,-3573000000.0,3688000000.0,-2366000000.0,3015000000.0,,
ChangeInPayablesAndAccruedExpense,2949000000.0,-3034000000.0,-3046000000.0,7075000000.0,3486000000.0,,
ChangeInAccruedExpense,2174000000.0,-3627000000.0,1186000000.0,603000000.0,3239000000.0,,
ChangeInPayable,775000000.0,593000000.0,-4232000000.0,6472000000.0,247000000.0,,
ChangeInAccountPayable,1612000000.0,-310000000.0,-4178000000.0,6240000000.0,953000000.0,,
ChangeInTaxPayable,-837000000.0,903000000.0,-54000000.0,232000000.0,-706000000.0,,
ChangeInIncomeTaxPayable,-837000000.0,903000000.0,-54000000.0,232000000.0,-706000000.0,,
ChangeInInventory,148000000.0,-807000000.0,6445000000.0,-7966000000.0,-705000000.0,,
ChangeInReceivables,-673000000.0,268000000.0,289000000.0,-1475000000.0,234000000.0,,
OtherNonCashItems,869000000.0,501000000.0,1204000000.0,819000000.0,359000000.0,,
DeferredTax,1627000000.0,-76000000.0,-390000000.0,-1000000.0,-346000000.0,,
DeferredIncomeTax,1627000000.0,-76000000.0,-390000000.0,-1000000.0,-346000000.0,,
DepreciationAmortizationDepletion,3487000000.0,3369000000.0,3374000000.0,3260000000.0,3211000000.0,,
DepreciationAndAmortization,3487000000.0,3369000000.0,3374000000.0,3260000000.0,3211000000.0,,
OperatingGainsLosses,-2617000000.0,551000000.0,224000000.0,135000000.0,1158000000.0,,
GainLossOnInvestmentSecurities,-2617000000.0,551000000.0,224000000.0,135000000.0,1158000000.0,,
NetIncomeFromContinuingOperations,7151000000.0,4639000000.0,5425000000.0,4714000000.0,4711000000.0,,
